Extraversion,Observant,Thinking,Judging,Age,way of watching movies,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary,Gender_Female,Gender_Male,Gender_Non-binary / third gender,Entertaining,relaxing,funny,express my feelings,educating,education_bachelor,education_high school or below,education_master or above,Major_arts-related,Major_business-related,Major_engineering and techonology,Major_environment-related,Major_literature language and social sciences,Major_science and math-related,subscription_Never,subscription_Somtimes,subscription_Yes,Frequency_6-10 times a year,Frequency_fewer than 5 times a year,Frequency_more than 10 times a year,number_0-20,number_21-40,number_over 40,with_With friends,with_alone,with_with boyfriend/girlfriend,with_with family,Actor/actress,director,advertisements,genres,previews,comment
71,66,21,56,20.0,1,4,5,3,4,4,5,3,5,3,0,1,0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0
53,59,64,56,47.0,1,4,3,4,4,4,3,3,4,4,0,1,0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0
52,22,60,82,20.0,1,4,5,2,4,3,4,4,5,3,0,1,0,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0
71,44,19,74,23.0,1,4,5,4,4,3,4,4,5,4,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
49,46,68,68,19.0,0,2,3,3,4,4,4,4,2,4,1,0,0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0
38,66,44,61,25.0,1,3,4,5,5,3,5,3,4,3,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0
53,58,68,63,21.0,1,3,3,4,4,3,3,3,3,2,0,1,0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0
39,29,43,52,22.0,1,2,2,3,2,4,5,3,4,2,1,0,0,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0
48,49,48,50,19.0,1,3,4,4,3,4,5,3,5,4,0,1,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1.0,0.0,1.0,1.0,0.0,0.0
65,70,58,62,20.0,1,4,3,3,4,3,4,2,3,4,1,0,0,1.0,1.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
46,51,21,37,19.0,0,3,2,4,5,3,3,1,4,5,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1.0,0.0,1.0,0.0,1.0,0.0
28,64,66,19,22.0,1,1,1,1,2,4,1,1,1,3,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0
54,42,60,42,20.0,0,3,4,5,4,4,4,4,4,4,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0
17,52,48,57,21.0,1,5,4,4,4,3,5,3,5,3,0,1,0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0.0,0.0,1.0,1.0,1.0,0.0
49,68,66,38,18.0,1,4,4,4,4,3,4,4,4,4,0,1,0,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0
47,40,73,27,24.0,0,3,2,2,4,4,2,2,3,3,1,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.0,1.0,1.0,0.0,0.0,1.0
56,52,54,63,21.0,1,3,3,3,3,3,3,3,3,3,1,0,0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0
46,55,54,42,21.0,0,3,3,3,4,3,5,4,2,3,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0
56,24,40,92,20.0,1,2,2,4,5,4,4,1,4,4,1,0,0,1.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0
65,60,50,65,20.0,1,4,4,4,4,4,4,4,4,4,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0
35,41,55,83,19.0,0,2,4,1,5,3,5,1,1,4,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,1.0,0.0,0.0,1.0
47,39,57,39,20.0,0,3,3,4,4,3,4,4,3,4,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0
61,49,53,65,18.0,0,4,4,3,5,3,5,4,4,3,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0
39,49,27,57,19.0,1,3,4,4,4,5,4,3,4,3,1,0,0,1.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.0,1.0,1.0,1.0,0.0,0.0
51,51,53,55,21.0,0,3,4,5,2,5,3,1,3,4,1,0,0,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,0.0
25,45,34,51,20.0,0,3,3,2,4,3,4,4,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.0
49,55,49,53,22.0,1,4,4,4,4,4,4,4,4,4,1,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0
46,44,76,68,22.0,1,4,4,5,5,5,5,4,1,3,1,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0
35,57,52,63,21.0,1,4,4,4,4,3,3,3,4,3,1,0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0
17,24,27,30,18.0,1,4,3,2,2,4,4,4,4,4,1,0,0,0.0,1.0,0.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0
34,35,57,47,19.0,0,3,4,4,4,4,3,4,5,3,1,0,0,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0
