Finished,Extraversion,Observant,Thinking,Judging,Age,Gender,education,Major,way of watching movies,subscription,Frequency,number of movies,Reasons,With whom,factors,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary
TRUE,49,63,61,52,,Female,master or above,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,relaxing,with family,"director,advertisements,previews",dislike,like,like,like,like,like,Strongly dislike,like,like
TRUE,34,54,64,61,19,Female,bachelor,engineering and techonology,on mobile devices at home or other places,Never,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",like,like,neither like nor dislike,like,neither like nor dislike,like,Strongly dislike,Strongly like,neither like nor dislike
TRUE,46,80,72,63,22,Male,bachelor,arts-related,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing",With friends,"Actor/actress,director,comments of other audience",Strongly dislike,Strongly dislike,Strongly dislike,neither like nor dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,neither like nor dislike
TRUE,42,56,67,50,36,Male,master or above,arts-related,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,funny,express my feelings",with family,"Actor/actress,director,advertisements",like,neither like nor dislike,like,like,Strongly like,like,like,like,Strongly like
TRUE,71,66,21,56,20,Male,bachelor,engineering and techonology,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,"funny,educating",With friends,"Actor/actress,director,previews",like,Strongly like,neither like nor dislike,like,like,Strongly like,neither like nor dislike,Strongly like,neither like nor dislike
TRUE,53,59,64,56,47,Male,master or above,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,21-40,"Entertaining,relaxing,funny",with family,"genres,previews,comments of other audience",like,neither like nor dislike,like,like,like,neither like nor dislike,neither like nor dislike,like,like
TRUE,52,22,60,82,20,Male,bachelor,engineering and techonology,Go to cinema or theatres,Somtimes,6-10 times a year,21-40,"relaxing,express my feelings,educating",With friends,"director,genres,comments of other audience",like,Strongly like,dislike,like,neither like nor dislike,like,like,Strongly like,neither like nor dislike
TRUE,71,44,19,74,23,Female,master or above,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,relaxing,With friends,"Actor/actress,genres,comments of other audience",like,Strongly like,like,like,neither like nor dislike,like,like,Strongly like,like
TRUE,49,46,68,68,19,Female,high school or below,business-related,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,21-40,educating,With friends,"director,advertisements,genres",dislike,neither like nor dislike,neither like nor dislike,like,like,like,like,dislike,like
TRUE,38,66,44,61,25,Female,master or above,literature language and social sciences,Go to cinema or theatres,Somtimes,more than 10 times a year,0-20,"Entertaining,relaxing,funny",with boyfriend/girlfriend,"Actor/actress,genres,previews",neither like nor dislike,like,Strongly like,Strongly like,neither like nor dislike,Strongly like,neither like nor dislike,like,neither like nor dislike
TRUE,53,58,68,63,,Male,bachelor,engineering and techonology,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,"Entertaining,funny",With friends,"Actor/actress,director,genres",neither like nor dislike,neither like nor dislike,like,like,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,dislike
TRUE,39,29,43,52,22,Female,master or above,science and math-related,Go to cinema or theatres,Somtimes,fewer than 5 times a year,21-40,"funny,express my feelings,educating",With friends,"director,advertisements,comments of other audience",dislike,dislike,neither like nor dislike,dislike,like,Strongly like,neither like nor dislike,like,dislike
TRUE,48,49,48,50,19,Male,bachelor,business-related,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing",alone,"Actor/actress,advertisements,genres",neither like nor dislike,like,like,neither like nor dislike,like,Strongly like,neither like nor dislike,Strongly like,like
TRUE,65,70,58,62,20,Female,high school or below,engineering and techonology,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",like,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,like,dislike,neither like nor dislike,like
TRUE,46,51,21,37,19,Female,bachelor,engineering and techonology,on mobile devices at home or other places,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",with family,"Actor/actress,advertisements,previews",neither like nor dislike,dislike,like,Strongly like,neither like nor dislike,neither like nor dislike,Strongly dislike,like,Strongly like
TRUE,28,64,66,19,22,Female,master or above,literature language and social sciences,Go to cinema or theatres,Never,fewer than 5 times a year,0-20,Entertaining,alone,"Actor/actress,director,genres",Strongly dislike,Strongly dislike,Strongly dislike,dislike,like,Strongly dislike,Strongly dislike,Strongly dislike,neither like nor dislike
TRUE,54,42,60,42,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,comments of other audience",neither like nor dislike,like,Strongly like,like,like,like,like,like,like
